"Product Name","Price","Sale Price","Pharmacies slug","Wholesale customer wholesale price"
"Double Chocolate Bar Box Pack","51.00","45.00","",""
"Vanilla European Crème 7 Day Pack","45.50","35.50","","23.65"
"4 week Kate Morgan Starter Pack","235.50","211.95","",""
"Weight Maintenance Guide","15.00","12.00","","7.11"
"Kate Morgan Recipe Book","5.99","4.79","","3.51"
"Kate Morgan Program Guide","4.99","3.99","","2.52"
"Kate Morgan Food Guide","4.99","3.99","","2.52"
"Kate Morgan Shaker","4.95","3.95","","2.94"
"10 Day Variety Pack (20 shakes)","59.00","49.00","(6 inners)","202.74"
"Double Chocolate Bar 60g","4.25","3.95","(12 inners x 12 bars)","388.80"
"Chocolate European Crème 7 Day Pack","45.50","35.50","","23.65"
"Vanilla European Crème 52g","3.25","2.60","",""
"Tomato Flavour Soups 52g","3.20","2.55","(25 units)","48.00"
"Banana 7 Day Pack","45.50","35.50","(6 inners)","141.90"
"Butterscotch 7 Day Pack","45.50","35.50","(6 inners)","141.90"
"Berry Shake 52g","3.25","2.60","(75 single units)","134.25"
"Cappuccino 7 Day Pack","45.50","35.50","(6 inners)","141.90"
"Vanilla 7 Day Pack","45.50","35.50","(6 inners)","141.90"
"Chocolate 7 Day Pack","45.50","35.50","(6 inners)","141.90"
"Pine Lime Shake 52g","3.25","2.60","(25 single units)","44.75"
"Banana Shake 52g","3.25","2.60","(75 single units)","134.25"
"Butterscotch Shake 52g","3.25","2.60","(75 single units)","134.25"
"Berry 7 Day Pack","45.50","35.50","(6 inners)","141.90"
"Cappuccino Shake 52g","3.25","2.60","(75 single units)","134.25"
"Chocolate Shake 52g","3.25","2.60","(75 single units)","134.25"
"Vanilla Shake 52g","3.25","2.60","(75 single units)","134.25"
"14 Day Kate Morgan Starter Pack","97.50","87.50","(3 inners)","165.84"
"8 week Serious Commitment Pack","437.70","393.90","",""
"Chocolate European Crème 52g","3.25","2.60","",""
